psraid,sample,lang,fips,state,cregion,density,usr,pial1,eminuse,intmob,pialql1,ql1a,qc1,smart1,pial2,pial3,pial4,pial5a,pial5b,pial5c,pial5d,pial5e,pial5f,pial6,pial7,pial8a,pial8b,pial8c,pial8d,pial9,pial10,pial11,pial12,SmartPhone,ql1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,raceos,iphoneuse,hphoneuse,weight,standwt
102898,1,1,48029,48,3,4,U,1,1,1,1, , ,1,1,1,1,4,4,4,4,4,4, ,1990,2,2,2,1,4,1,1,3,1,1,2,1,1,1,56,5,2,1,6,3,1,4,2, ,2,2,2.25,.734328009576922
102902,1,1,24005,24,3,4,U,1,1,1,1, , ,1,1,1,3,2,4,1,1,2,1,1,1994,1,2,2,1,1,1,1,1,1,1,2,1,1,2,41,6,2,1,9,4,1,1, , ,2,2,3.09375,1.00970101316827
102922,1,1,48201,48,3,5,U,2,2,2,1, , ,2, , , ,1,1,3, , , , , , , , , , , , , ,2,1,1,3,2,2,80,3,1,6,2,1,1,2, ,HISPANIC,2,2,1.40625,.458955005985576
102923,1,1,6073,6,4,3,S,1,1,1,1, , ,1,1,1,2,4,4,3,1,3,3,1,2000,1,1,1,1,1,1,1,1,1,1,1,2,2,2,22,6,2,1,8,4,3,1, , ,2,2,1.375,.448756005852563
102939,1,1,41059,41,4,1,R,1,1,2,2,2, , ,1,1,2,2,1, ,1,3,2,1,2004,2,2,1,1,1,1,1,1,3,2,2,1,2,2,46,3,2,1,2,1,2,3,1, ,1,1,6.5625,2.14179002793269
102961,1,1,51041,51,3,3,S,1,1,1,1, , ,1,1,1,2,2,4,2,1,2,4,2,1995,1,2,2,1,1,1,1,1,1,1,2,1,1,1,50,6,2,1,9,4,1,3,1, ,2,2,1.53125,.499751006517627
102985,1,1,29143,29,2,1,R,2,2,2,1, , ,2, , , ,1,3,1, , , , , , , , , , , , , ,2,1,2,2,2,1,63,3,2,1,2,1,1,3,1, ,2,2,2.15625,.703731009177884
102986,1,1,48265,48,3,1,R,1,1,1,1, , ,1,1,1,1,3,4,5,1,2,1,3,2003,2,2,1,1,1,1,1,1,1,1,4,1,1,1,33,2,2,1,3,1,3,1, , ,2,2,2.96875,.968905012636217
102992,1,1,27123,27,2,5,S,1,1,2,1, , ,2,1,1,2,2,4,2,2,2,4,2,1996,2,2,2,1,1,1,1,1,2,1,2,1,2,2,64,4,2,1,6,3,1,3,1, ,2,2,2.59375,.846517011040063
103006,1,1,17119,17,2,3,S,1,1,2,1, , ,2,1,1,2,3,3,2,3,3,4, ,2000,2,2,2,2,5,8,1,1,2,1,1,3,2,1,46,3,2,1,3,1,1,9,9, ,2,2,1.78125,.58134300758173
103031,1,1,53061,53,4,2,U,2,2,2,2,2, , , , , ,4,1, , , , , , , , , , , , , , ,3,2,1,3,2,2,93,3,2,1,2,1,3,2, , ,1,1,2.6875,.877114011439101
103059,1,1,53067,53,4,3,S,1,1,2,1, , ,2,1,1,2,4,2,4,2,2,4,1,2002,1,1,1,1,2,1,1,1,2,1,2,1,1,2,52,6,2,1,9,4,1,2, , ,2,2,2.1875,.713930009310896
103064,1,1,6037,6,4,5,U,1,1,1,1, , ,1,1,1,2,1,3,3,1,2,4,2,2000,2,2,2,2,1,1,2,1,1,1,1,3,2,1,62,6,2,3,3,1,1,1, , ,2,2,1.78125,.58134300758173
103088,1,1,8005,8,4,3,U,1,1,1,1, , ,1,1,2,1,2,4,1,2,2,3,1,2005,1,1,1,1,1,2,2,1,1,1,2,1,2,1,19,4,2,1,3,1,1,3,1, ,2,2,3.625,1.18308401542949
103103,1,1,53033,53,4,4,U,1,1,2,1, , ,2,1,1,2,1,2,1,1,3,4,1,2008,2,2,1,2,2,3,1,1,2,1,1,2,2,1,55,3,2,1,1,1,2,3,2, ,2,2,1.6875,.550746007182692
200003,2,1,39103,39,2,3,S,1,1,1, , ,2,1,1,1,1,2, ,1,1,1,3,1,1996,1,2,2,2,2,2,1,1,1, ,2,1,2,1,35,6,2,1,9,4,1,3,9, ,3,3,3.28125,1.07089501396634
200014,2,1,51800,51,3,2,S,1,1,1, , ,2,1,1,1,3,2, ,3,3,2,6, ,1995,1,1,2,1,2,1,1,1,1, ,9,3,2,1,47,5,2,1,5,2,1,3,1, ,3,3,4.28125,1.39726301822275
200019,2,1,45063,45,3,3,S,2,2,2, , ,2,8, , , ,1, ,2, , , , , , , , , , , , , ,2, ,1,3,2,1,66,3,2,1,1,1,3,3,1, ,3,3,3.40625,1.1116910144984
200022,2,1,51059,51,3,5,S,1,1,1, , ,1,1,1,2,1,4,2,1,1,2,4,1,1998,2,2,2,1,1,1,1,1,1, ,2,1,2,2,55,3,2,1,7,4,1,2, , ,2,2,3.03125,.989303012902242
200024,2,1,39035,39,2,5,S,1,1,1, , ,2,1,1,1,1,2, ,1,1,1,1,1,2005,1,2,1,1,1,1,1,1,1, ,2,1,2,2,20,4,2,2,3,1,3,2, , ,3,3,6.5625,2.14179002793269
200028,2,1,37055,37,3,1,R,1,1,1, , ,2,1,1,1,1,2, ,1,1,1,1,2,2000,1,2,1,1,1,1,1,1,1, ,2,2,2,1,46,3,2,1,1,1,1,3,9, ,3,3,3.46875,1.13208901476442
200030,2,1,13245,13,3,3,U,1,1,1, , ,2,1,1,1,1,2, ,1,1,1,4,1,1997,1,2,2,1,2,1,1,1,1, ,2,1,2,1,47,8,2,1,8,4,1,3,2, ,3,3,2.40625,.785323010241986
200035,2,1,13089,13,3,5,S,1,1,1, , ,1,1,1,1,1,1,2,1,1,1,2,1,2004,1,2,2,2,1,3,1,1,1, ,2,1,2,2,55,7,2,1,9,4,1,2, , ,2,2,1.9375,.632338008246794
200038,2,1,12073,12,3,3,S,1,1,1, , ,1,1,1,1,1,3,4,1,1,1,3,1,1990,1,1,1,1,2,1,3,1,1, ,6,3,1,2,53,8,2,1,99,9,3,9,9, ,2,2,2.5625,.83631801090705
200041,2,1,18167,18,2,2,U,1,1,1, , ,2,2,2, , ,4, ,1,3,1,4, ,2010,2,1,2,9,1,3,2,1,2, ,1,3,1,2,56,2,2,1,1,1,1,1, , ,3,3,3.78125,1.23407901609455
200049,2,1,27037,27,2,3,S,1,1,2, , ,2,1,2, , ,4, ,3,3,4,4, ,2004,2,2,1,1,2,2,1,1,1, ,3,3,2,1,19,3,2,3,4,2,3,3,2, ,3,3,5.71875,1.86641702434134
200055,2,1,36081,36,1,5,U,1,1,1, , ,2,1,1,1,1,4, ,2,1,1,2,1,2000,1,1,1,1,1,2,1,1,1, ,3,1,2,2,18,3,2,1,7,4,3,2, , ,3,3,5.40625,1.76442702301122
200058,2,1,18151,18,2,2,R,1,1,1, , ,1,1,1,1,1,3,2,1,1,1,1,3,1999,1,2,2,1,3,2,1,1,1, ,2,1,2,2,50,3,2,1,5,2,1,1, , ,2,2,2.875,.938308012237178
200063,2,1,26077,26,2,3,S,1,1,2, , ,2,2,1,1,2,3, ,3,2,2,3,1,2000,1,2,1,1,1,1,1,1,2, ,2,3,1,2,26,6,2,1,4,2,1,3,2, ,3,3,4.84375,1.58084502061698
200071,2,1,26125,26,2,4,U,1,1,1, , ,1,1,1,1,2,4,1,3,2,2,4,1,1980,2,2,2,1,9,1,1,1,1, ,1,1,2,1,60,6,2,1,8,4,1,3,2, ,2,2,1,.32636800425641
200074,2,1,24003,24,3,4,S,2,1,1, , ,1,1,1,1,2,2,2,1,1,3,4,2,1999,2,2,2,1,1,1,1,1,1, ,4,2,2,1,26,3,2,2,9,4,1,2, , ,2,2,4.34375,1.41766101848878
200077,2,1,20169,20,2,1,R,1,1,2, , ,2,2,2, , ,4, ,4,4,4,4, ,1996,2,2,2,8,5,8,2,8,2, ,1,1,2,1,55,6,2,1,5,2,2,3,9, ,3,3,1.875,.611940007980768
200083,2,1,1069,1,3,2,S,2,2,2, , ,2,2, , , ,1, ,1, , , , , , , , , , , , , ,2, ,1,3,2,1,62,3,2,1,2,1,1,2, , ,3,3,3.4375,1.12189001463141
200085,2,1,51177,51,3,2,S,1,1,1, , ,2,1,1,1,2,2, ,2,2,2,4,1,1992,1,2,2,1,1,1,3,1,1, ,2,3,2,1,99,8,2,1,5,2,1,3,9, ,3,3,2.09375,.683333008911858
200086,2,1,37139,37,3,2,R,1,1,2, , ,1,2,1,1,1,1,1,3,1,3,3,2,2000,1,2,2,1,1,1,1,1,2, ,3,1,2,2,59,3,2,1,5,2,1,1, , ,2,2,2.8125,.917910011971153
200091,2,1,37119,37,3,4,U,1,1,1, , ,2,1,1,1,1,2, ,2,3,4,3, ,1998,1,2,2,2,1,2,2,2,1, ,2,1,2,1,21,4,2,1,2,1,1,1, , ,3,3,5.375,1.7542280228782
200102,2,1,48121,48,3,3,S,1,1,1, , ,1,1,1,2,1,2,2,2,2,2,2,1,1996,2,2,2,1,1,1,3,1,1, ,2,1,2,2,64,3,2,1,4,2,1,1, , ,2,2,2.5625,.83631801090705
200104,2,1,39095,39,2,4,U,1,1,1, , ,1,1,1,1,2,3,4,1,1,1,3,2,1980,1,2,1,1,1,1,1,1,1, ,2,1,2,1,53,5,2,1,6,3,1,1, , ,2,2,3.3125,1.08109401409936
200106,2,1,51179,51,3,3,S,1,1,1, , ,2,1,1,1,2,4, ,1,1,4,4,2,2007,2,1,2,2,1,1,1,1,1, ,3,1,1,1,40,3,2,2,4,2,3,2, , ,3,3,6.53125,2.13159102779968
200108,2,1,37051,37,3,3,S,1,1,1, , ,1,1,1,2,1,2,4,2,2,2,4,1,1997,2,2,2,1,1,1,1,1,1, ,2,1,2,1,50,8,2,1,8,4,1,1, , ,2,2,1.53125,.499751006517627
200112,2,1,1069,1,3,2,U,1,1,1, , ,2,1,1,2,1,2, ,2,3,3,4, ,2000,2,2,2,2,2,2,2,2,1, ,2,1,2,2,52,6,2,1,5,2,1,3,2, ,3,3,2.8125,.917910011971153
200115,2,1,22019,22,3,2,U,1,1,1, , ,1,1,1,1,3,4,4,1,1,1,3,1,2002,1,2,1,1,1,1,1,1,1, ,2,3,2,2,57,8,2,2,9,4,1,2, , ,2,2,1.71875,.560945007315704
200118,2,1,29189,29,2,4,S,1,1,1, , ,1,1,1,1,1,4,6,2,1,1,3,1,1995,1,2,1,1,2,2,1,1,1, ,2,1,2,1,29,8,2,3,7,4,3,4,9, ,2,2,3.6875,1.20348201569551
200120,2,1,37119,37,3,4,U,1,1,1, , ,1,1,1,1,1,2,4,1,1,1,3,1,1995,2,2,2,1,1,1,1,1,1, ,2,1,1,2,43,6,2,1,9,4,1,1, , ,2,2,3.09375,1.00970101316827
200135,2,1,48029,48,3,4,U,2,2,2, , ,2,8, , , ,3, ,1, , , , , , , , , , , , , ,2, ,1,3,2,1,66,3,1,1,2,1,3,2, , ,3,3,3.09375,1.00970101316827
200141,2,1,22079,22,3,1,S,1,1,1, , ,2,1,1,1,1,3, ,2,1,3,3,2,1998,1,1,2,1,1,1,1,1,1, ,2,2,2,2,28,6,2,1,3,1,3,3,1, ,3,3,3.71875,1.21368101582852
200146,2,1,48209,48,3,2,S,1,1,1, , ,1,1,1,1,2,3,3,4,2,4,4,1,2009,1,1,2,1,1,1,1,1,1, ,2,3,2,2,57,8,2,1,7,4,2,2, , ,2,2,1.4375,.469154006118589
200148,2,1,22105,22,3,2,R,1,1,1, , ,2,1,1,1,1,1, ,1,2,3,3,3,1990,2,2,2,1,1,2,1,1,1, ,1,1,2,1,42,6,2,1,7,4,1,1, , ,3,3,2.71875,.887313011572114
200152,2,1,12109,12,3,2,S,1,1,1, , ,2,1,1,1,1,6, ,2,1,1,6,2,2002,1,1,1,1,4,3,3,1,1, ,1,1,2,1,23,6,2,1,2,1,3,3,9, ,3,3,2.09375,.683333008911858
200155,2,1,48439,48,3,5,U,1,1,1, , ,2,1,2, , ,1, ,1,1,1,3,1,2000,2,2,2,1,1,2,1,1,1, ,1,3,2,1,57,4,2,1,6,3,1,1, , ,3,3,4.1875,1.36666601782372
200158,2,1,48273,48,3,1,R,1,1,1, , ,1,1,1,1,1,3,3,1,1,1,2,1,1998,1,2,2,1,1,1,1,1,1, ,4,2,2,1,24,6,1,1,8,4,1,2, , ,2,2,1.40625,.458955005985576
200160,2,1,37101,37,3,2,S,2,1,1, , ,2,1,1,1,1,1, ,1,3,4,4, ,1990,1,2,2,1,2,1,2,1,1, ,2,1,2,1,36,3,2,1,2,1,3,2, , ,3,3,4.8125,1.57064602048397
200167,2,1,48303,48,3,2,U,1,1,1, , ,2,1,1,1,4,3, ,2,1,1,4,2,1992,2,2,1,1,2,1,1,1,1, ,2,3,2,1,65,8,2,1,7,4,1,1, , ,3,3,1.625,.530348006916666
200170,2,1,48467,48,3,1,R,1,1,2, , ,2,2,2, , ,1, ,1,3,3,3, ,2005,2,2,2,2,1,1,1,1,2, ,2,1,2,1,52,3,2,1,8,4,1,1, , ,3,3,3.46875,1.13208901476442
200195,2,1,48201,48,3,5,S,1,1,1, , ,1,1,1,1,1,4,4,1,1,1,3,1,1996,2,2,2,2,4,1,1,1,1, ,3,1,1,2,38,8,1,1,9,4,3,3,2, ,2,2,4.15625,1.3564670176907
200197,2,1,22019,22,3,2,U,1,1,1, , ,2,1,1,1,1,3, ,1,1,3,4,1,1989,1,1,2,1,1,1,1,1,1, ,2,1,1,1,37,4,2,1,4,2,1,3,9, ,3,3,5.53125,1.80522302354327
200204,2,1,42091,42,1,4,S,1,1,1, , ,2,1,1,1,1,2, ,1,1,1,4,1,1996,1,1,1,1,4,1,1,1,1, ,2,1,2,1,31,8,2,1,9,4,1,1, , ,3,3,4.03125,1.31567101715865
200207,2,2,48453,48,3,4,U,1,1,1, , ,2,1,1,1,2,1, ,4,3,3,1, ,2010,2,2,2,1,1,1,1,1,1, ,2,3,1,2,39,1,1,1,3,1,3,2, , ,3,3,6.5625,2.14179002793269
200210,2,1,4013,4,4,3,U,2,1,1, , ,2,1,1,1,2,2, ,3,1,4,1,2,2001,2,2,2,1,1,2,2,1,1, ,3,3,2,2,18,3,2,1,1,1,3,3,2, ,3,3,4.0625,1.32587001729166
200217,2,1,17031,17,2,5,S,1,1,1, , ,2,1,1,1,1,4, ,1,1,1,3,1,1998,1,2,2,1,1,1,1,1,1, ,3,1,2,2,28,6,2,2,7,4,1,2, , ,3,3,6.5625,2.14179002793269
200221,2,1,21111,21,3,4,U,1,1,2, , ,1,1,1,2,2,3,3,3,3,3,6, ,2006,1,2,1,1,2,1,1,2,1, ,3,2,2,2,19,3,2,1,6,3,1,2, , ,2,2,3.03125,.989303012902242
200223,2,1,51550,51,3,3,S,1,1,1, , ,2,1,1,1,2,4, ,4,4,4,4, ,1997,1,2,1,1,2,2,1,1,1, ,4,1,1,1,25,4,2,2,4,2,1,1, , ,3,3,6.5625,2.14179002793269
200224,2,1,48453,48,3,4,U,1,1,1, , ,2,1,1,1,2,3, ,3,3,1,4, ,2000,1,2,2,1,1,1,1,1,1, ,2,1,1,1,42,6,1,6,3,1,1,2, ,HISPANIC,3,3,2.8125,.917910011971153
200226,2,1,4013,4,4,3,S,1,1,1, , ,2,1,1,1,1,2, ,1,1,1,3,2,1995,1,1,1,1,2,3,1,1,1, ,2,1,2,1,31,3,2,1,6,3,1,3,9, ,3,3,4.875,1.59104402075
200227,2,1,55095,55,2,1,R,1,1,1, , ,1,8,1,1,2,4,1,4,3,3,1, ,2009,2,2,2,1,2,1,1,1,2, ,2,1,2,1,20,3,2,1,1,1,1,3,9, ,2,2,1.8125,.591542007714743
200228,2,2,17031,17,2,5,U,1,1,2, , ,1,8,2, , ,1,4,1,2,4,3,9,2012,2,1,1,2,1,1,2,1,2, ,3,3,2,2,66,1,1,1,3,1,1,3,2, ,2,2,3,.979104012769229
200232,2,1,37183,37,3,4,U,1,1,1, , ,2,1,1,1,1,4, ,4,4,4,4, ,1991,1,1,2,1,8,1,1,1,1, ,2,1,1,1,36,3,2,1,7,4,3,4,9, ,3,3,5.53125,1.80522302354327
200235,2,1,8013,8,4,3,S,1,1,1, , ,1,1,1,1,1,2,1,5,1,1,2,1,1995,8,1,2,1,1,1,3,1,1, ,2,1,2,2,52,4,2,1,4,2,1,2, , ,2,2,3.375,1.10149201436538
200244,2,1,8077,8,4,1,S,2,2,2, , ,1,2, , , ,1,1,1, , , , , , , , , , , , , ,2, ,1,3,2,2,81,6,2,1,3,1,1,2, , ,2,2,1,.32636800425641
200252,2,1,27067,27,2,1,R,1,1,2, , ,1,1,1,2,1,1,4,1,1,1,4,1,2004,2,2,2,2,1,2,1,1,1, ,2,1,2,1,73,3,2,1,5,2,1,1, , ,2,2,1.875,.611940007980768
200256,2,1,4019,4,4,2,S,2,2,2, , ,1,2, , , ,1,1,1, , , , , , , , , , , , , ,2, ,2,1,1,1,49,3,1,1,4,2,3,3,1, ,2,2,2.3125,.754726009842948
200257,2,1,24031,24,3,4,S,1,1,1, , ,1,1,1,1,1,1,3,1,1,1,1,1,1996,2,2,1,1,1,1,1,1,1, ,2,1,1,1,36,6,2,2,7,4,1,2, , ,2,2,2.34375,.76492500997596
200265,2,1,55105,55,2,2,U,1,1,1, , ,1,2,1,1,1,1,3,1,1,2,4,1,1999,1,2,2,1,1,1,1,1,2, ,3,1,1,2,44,5,2,1,6,3,1,2, , ,2,2,5.59375,1.82562102380929
200272,2,1,48439,48,3,5,S,1,1,1, , ,2,1,1,1,2,2, ,1,2,3,4,3,1995,2,1,1,2,2,2,1,1,1, ,3,3,2,1,25,5,2,1,5,2,1,3,1, ,3,3,6.5625,2.14179002793269
200275,2,1,4011,4,4,1,R,1,1,1, , ,2,1,1,1,1,4, ,3,1,1,4,1,2002,2,2,2,1,2,2,2,1,1, ,3,1,1,1,22,6,1,1,7,4,1,3,2, ,3,3,1.90625,.622139008113781
200280,2,1,12081,12,3,3,S,1,1,1, , ,2,2,2, , ,3, ,1,3,3,4, ,2000,2,2,2,1,2,3,1,1,2, ,3,3,2,1,63,5,2,2,6,3,1,2, , ,3,3,4.1875,1.36666601782372
200283,2,1,4013,4,4,3,U,1,1,1, , ,2,1,1,1,1,2, ,1,1,3,1,2,2004,2,1,1,1,1,1,1,1,1, ,3,3,2,2,19,3,2,1,4,2,3,1, , ,3,3,4.0625,1.32587001729166
200287,2,1,24033,24,3,4,S,1,1,1, , ,1,1,1,1,1,1,4,1,1,1,1,1,1995,1,2,2,1,1,1,1,1,1, ,2,1,1,1,48,6,2,2,9,4,1,2, , ,2,2,1.84375,.601741007847755
200289,2,1,4015,4,4,1,S,1,1,1, , ,1,1,1,1,4,3,2,2,1,2,4,1,2002,1,2,2,2,1,1,3,1,1, ,2,3,2,2,57,5,2,1,6,3,1,3,1, ,2,2,1.78125,.58134300758173
200292,2,1,8067,8,4,1,R,1,1,1, , ,2,1,1,1,1,4, ,1,5,5,4,1,1985,1,1,2,1,1,1,1,1,1, ,2,1,1,2,47,7,2,1,7,4,1,1, , ,3,3,2.8125,.917910011971153
200297,2,1,39035,39,2,5,U,1,1,1, , ,2,1,2, , ,4, ,2,1,2,4,2,2009,1,2,2,1,1,1,1,1,1, ,4,1,2,2,50,5,2,2,7,4,1,2, , ,3,3,6.5625,2.14179002793269
200301,2,1,34039,34,1,5,S,1,1,1, , ,1,1,1,1,2,3,3,1,1,1,3,1,2005,2,2,1,1,5,2,1,1,1, ,3,3,2,1,18,2,1,1,1,1,2,3,9, ,2,2,3.375,1.10149201436538
200304,2,1,24003,24,3,4,S,2,1,1, , ,1,2,1,1,2,1,4,1,1,1,4,2,2003,2,2,2,2,8,8,1,1,2, ,2,2,2,1,68,4,2,1,9,4,1,1, , ,2,2,1.9375,.632338008246794
200305,2,1,8069,8,4,2,S,1,1,2, , ,2,2,2, , ,4, ,3,4,4,4, ,2004,2,2,1,1,8,1,2,2,2, ,1,1,1,1,48,2,2,1,4,2,3,3,9, ,3,3,4.03125,1.31567101715865
200310,2,1,47101,47,3,1,R,1,1,1, , ,1,1,1,2,1,1,2,1,3,2,4, ,1994,1,2,2,1,1,1,1,1,1, ,3,2,1,2,38,3,2,1,5,2,1,3,9, ,2,2,4.78125,1.56044702035096
200311,2,2,48141,48,3,3,U,1,1,1, , ,2,1,2, , ,4, ,4,4,4,4, ,2013,2,2,2,2,4,4,1,1,1, ,2,3,1,1,30,3,1,1,2,1,3,3,9, ,3,3,4.09375,1.33606901742468
200313,2,1,36027,36,1,3,S,1,1,1, , ,1,1,1,1,1,2,4,1,1,2,1,1,2000,1,2,2,1,1,1,1,1,1, ,1,1,1,1,37,3,2,2,4,2,3,4,9, ,2,2,3.09375,1.00970101316827
200318,2,1,35045,35,4,1,U,1,1,1, , ,1,2,2, , ,4,3,4,3,3,3, ,1989,1,1,1,8,1,1,1,2,2, ,3,2,1,2,50,4,2,5,99,2,1,2, , ,2,2,5.71875,1.86641702434134
200324,2,1,26077,26,2,3,U,1,1,1, , ,1,2,1,1,2,2,3,3,9,9,9, ,8888,2,2,1,1,3,2,1,1,2, ,2,3,2,2,50,6,2,9,6,3,1,4,2, ,2,2,2.15625,.703731009177884
200333,2,1,55117,55,2,2,U,1,1,2, , ,2,2,1,1,2,1, ,1,2,2,4,2,2000,1,2,2,1,1,1,1,1,2, ,5,3,2,1,63,6,2,1,5,2,1,3,1, ,3,3,2,.65273600851282
200335,2,1,36047,36,1,5,U,1,1,2, , ,2,2,1,1,2,1, ,1,1,1,1,2,7777,1,2,2,1,1,1,1,1,2, ,3,2,2,2,56,4,1,2,2,1,1,2, , ,3,3,4.15625,1.3564670176907
200338,2,1,26021,26,2,2,S,1,1,1, , ,2,1,2, , ,1, ,1,4,4,4, ,2008,1,2,2,1,1,1,8,1,1, ,2,1,2,1,51,2,2,1,4,2,1,1, , ,3,3,3.96875,1.29527301689263
200347,2,1,19153,19,2,3,U,1,1,1, , ,1,2,1,1,2,4,4,4,4,4,4, ,2003,1,1,2,1,5,2,2,2,2, ,3,3,2,2,64,4,2,2,2,1,1,2, , ,2,2,3.25,1.06069601383333
200356,2,1,4019,4,4,2,U,1,1,1, , ,2,1,1,1,1,6, ,1,1,3,4,1,1998,1,1,1,1,1,2,1,1,1, ,2,1,2,1,33,3,2,1,7,4,1,3,9, ,3,3,4.28125,1.39726301822275
200358,2,1,31109,31,2,2,U,1,1,1, , ,2,1,1,1,1,1, ,1,1,1,3,1,2000,1,2,2,1,1,1,1,1,1, ,1,1,1,2,34,3,2,1,4,2,1,1, , ,3,3,4.96875,1.62164102114904
200359,2,1,48453,48,3,4,S,1,1,1, , ,1,1,1,2,1,1,4,2,1,3,4,1,1993,2,2,2,2,1,4,1,1,1, ,2,1,2,2,53,6,2,1,9,4,1,3,1, ,2,2,2.0625,.673134008778845
200365,2,1,12095,12,3,4,S,1,1,2, , ,1,2,2, , ,1,3,1,1,1,4,1,2005,2,2,2,2,1,1,1,1,2, ,3,2,2,1,70,4,2,1,99,9,1,3,2, ,2,2,2.4375,.795522010374999
200368,2,1,42091,42,1,4,S,1,1,1, , ,1,1,1,1,1,2,2,1,1,1,3,1,1990,1,2,2,1,1,1,1,1,1, ,4,1,2,2,51,3,2,2,7,4,1,2, , ,2,2,5.59375,1.82562102380929
200371,2,1,12086,12,3,4,U,1,1,1, , ,2,1,1,1,1,3, ,1,1,1,2,1,1996,1,2,2,1,3,1,1,1,1, ,2,2,2,2,25,6,2,2,7,4,3,2, , ,3,3,5.46875,1.78482502327724
200391,2,1,48201,48,3,5,S,1,1,2, , ,1,1,1,2,1,1,4,1,1,1,2,1,1992,2,2,2,2,2,1,1,1,1, ,3,1,1,2,44,6,1,1,8,4,1,2, , ,2,2,4.15625,1.3564670176907
200416,2,1,28121,28,3,2,S,1,1,2, , ,2,1,2, , ,2, ,5,2,1,1,2,1999,1,1,2,1,4,1,1,1,1, ,3,1,2,2,43,4,2,1,6,3,1,3,2, ,3,3,6.5625,2.14179002793269
200432,2,1,12087,12,3,1,R,1,1,1, , ,1,1,1,1,2,2,1,1,1,1,6,1,1995,2,2,2,2,1,1,1,1,1, ,2,3,2,1,66,3,2,1,9,4,3,3,1, ,2,2,1.75,.571144007448717
200436,2,1,24031,24,3,4,S,1,1,1, , ,1,1,1,1,1,2,3,1,2,2,3,1,1995,2,2,2,2,1,1,1,1,1, ,4,1,1,1,54,5,2,1,9,4,1,1, , ,2,2,3.9375,1.28507401675961
200439,2,1,33011,33,1,3,U,1,1,2, , ,1,2,1,1,1,2,4,2,1,2,4,1,1995,2,2,2,2,1,1,1,1,2, ,1,1,1,1,53,4,2,1,8,4,1,1, , ,2,2,2.3125,.754726009842948
200442,2,1,25009,25,1,4,S,1,1,1, , ,2,1,1,1,1,2, ,1,1,1,1,1,2003,2,2,2,2,1,1,1,1,1, ,2,1,2,2,26,6,2,1,6,3,1,2, , ,3,3,5.5,1.79502402341025
200444,2,1,48113,48,3,5,S,1,1,1, , ,1,1,1,1,1,3,3,1,1,1,3,2,1988,1,2,2,1,1,1,1,1,1, ,2,1,2,2,55,8,9,4,8,4,1,1, , ,2,2,3.1875,1.04029801356731
200455,2,1,42027,42,1,2,S,2,1,1, , ,2,8,1,1,4,1, ,1,1,1,4,1,8888,2,2,2,1,3,1,1,1,2, ,2,3,2,1,72,8,2,1,9,4,2,3,2, ,3,3,1.96875,.642537008379807
200472,2,1,48039,48,3,2,S,1,1,1, , ,2,1,1,1,4,2, ,3,3,3,2, ,2001,1,1,2,1,1,1,1,1,1, ,2,3,2,2,50,4,2,1,2,1,3,2, , ,3,3,4.34375,1.41766101848878
200478,2,1,24009,24,3,3,S,1,1,1, , ,1,2,1,1,1,3,2,1,2,1,4,1,2004,1,2,1,1,1,1,1,1,2, ,2,2,2,1,21,3,2,1,3,1,1,3,1, ,2,2,2.0625,.673134008778845
200481,2,1,34039,34,1,5,S,1,1,2, , ,1,2,1,1,4,1,2,2,2,2,4,4,2010,2,2,2,2,1,1,2,3,2, ,6,3,2,2,75,3,2,1,5,2,1,3,1, ,2,2,3.75,1.22388001596154
200483,2,1,51099,51,3,2,R,1,1,1, , ,2,1,1,1,1,3, ,1,1,1,3,1,1999,2,2,2,2,1,1,1,1,1, ,3,2,1,2,36,3,2,1,2,1,3,3,1, ,3,3,6.4375,2.10099402740064
200490,2,1,22127,22,3,1,R,1,1,1, , ,1,1,1,1,1,1,1,3,3,3,2, ,2000,1,2,2,2,1,1,1,1,1, ,2,1,1,1,35,6,2,1,8,4,1,1, , ,2,2,1.59375,.520149006783653
200492,2,1,48113,48,3,5,U,1,1,1, , ,1,1,1,1,1,4,4,2,1,2,4,1,1996,1,2,2,1,1,1,1,1,1, ,2,1,1,2,27,3,1,4,4,2,1,3,2, ,2,2,3.59375,1.17288501529647
200498,2,1,39027,39,2,1,R,1,1,1, , ,1,1,1,1,1,2,4,2,1,2,4,1,1998,1,2,2,1,1,3,1,1,1, ,2,1,1,2,34,8,2,1,7,4,1,2, , ,2,2,2.5,.815920010641025
200506,2,1,36055,36,1,4,S,1,1,1, , ,1,2,1,1,2,3,2,4,1,1,4,1,1995,2,2,2,2,1,8,1,1,2, ,2,3,2,1,99,6,2,1,99,9,1,3,1, ,2,2,1.84375,.601741007847755
200507,2,1,29095,29,2,4,U,2,2,2, , ,1,8, , , ,2,1,2, , , , , , , , , , , , , ,2, ,1,2,2,2,56,3,2,1,1,1,1,3,2, ,2,2,1.71875,.560945007315704
200511,2,1,47113,47,3,2,U,1,2,1, , ,2,1,2, , ,4, ,4,4,4,4, ,2004,2,2,2,1,3,3,2,3,1, ,2,1,1,1,25,3,2,2,5,2,3,9,9, ,3,3,4.75,1.55024802021795
200516,2,1,20177,20,2,2,S,1,1,1, , ,2,1,1,1,2,2, ,3,3,3,4, ,2000,1,1,1,1,2,1,1,1,1, ,2,1,1,1,36,6,2,1,5,2,1,1, , ,3,3,2.90625,.948507012370191
