psraid,sample,lang,fips,state,cregion,density,usr,pial1,eminuse,intmob,pialql1,ql1a,qc1,smart1,pial2,pial3,pial4,pial5a,pial5b,pial5c,pial5d,pial5e,pial5f,pial6,pial7,pial8a,pial8b,pial8c,pial8d,pial9,pial10,pial11,pial12,SmartPhone,ql1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,raceos,iphoneuse,hphoneuse,weight,standwt
102258,1,1,47185,47,3,1,R,1,1,1,1, , ,2,1,1,2,1,4,3,1,3,3,2,8888,2,2,2,1,8,3,3,1,2,1,3,2,2,1,25,3,2,1,99,1,1,3,9, ,2,2,2.96875,.968905012636217
102262,1,1,48167,48,3,3,S,1,1,1,1, , ,1,1,1,2,3,4,1,1,2,4,2,2000,2,2,2,2,2,1,1,2,1,1,3,1,2,1,58,6,2,1,99,9,1,1, , ,2,2,1.71875,.560945007315704
102273,1,2,48439,48,3,5,U,2,1,1,1, , ,1,1,1,2,3,1,2,2,2,2,2,8888,2,2,2,1,1,1,1,1,1,1,3,3,1,2,40,2,1,1,4,2,3,3,2, ,2,2,6.28125,2.04999902673557
102276,1,2,48479,48,3,1,U,2,2,2,1, , ,2, , , ,4,1,1, , , , , , , , , , , , , ,2,1,3,3,2,2,80,1,1,1,99,9,3,9,9, ,2,2,1.9375,.632338008246794
102279,1,1,36103,36,1,4,S,1,1,1,1, , ,1,1,1,1,4,1,3,1,3,4,1,1995,1,2,1,1,8,1,1,1,1,1,2,2,1,2,51,8,2,1,7,4,1,3,1, ,2,2,2.46875,.805721010508012
102284,1,2,13121,13,3,4,U,1,1,1,1, , ,2,1,2,1,4,4,4,4,4,4, ,2006,1,2,2,1,1,1,1,1,2,1,2,1,2,2,46,3,1,1,2,1,3,3,2, ,2,2,2.8125,.917910011971153
102291,1,1,5131,5,3,2,U,1,1,2,1, , ,2,1,2,2,1,1,4,4,4,6, ,2000,2,2,2,2,2,1,2,1,2,1,2,3,2,2,64,3,2,1,7,4,1,1, , ,2,2,2.25,.734328009576922
102300,1,1,36047,36,1,5,U,1,1,1,1, , ,1,1,1,1,4,4,1,1,2,4,1,2000,1,2,1,1,9,2,1,9,1,1,2,1,1,1,28,8,2,1,9,4,1,3,1, ,2,2,3,.979104012769229
102301,1,1,27131,27,2,2,R,1,1,2,1, , ,2,1,2,1,3,3,3,3,3,6, ,2003,2,2,2,2,1,8,1,1,2,1,5,1,2,1,55,4,2,1,5,2,1,4,2, ,2,2,2.625,.856716011173076
102304,1,1,26163,26,2,5,S,1,1,2,2,1, , ,1,1,2,2,1, ,1,1,6,1,2000,2,2,2,1,4,4,1,1,3,2,3,2,2,2,61,3,2,1,99,9,1,3,9, ,1,2,6.5625,2.14179002793269
102312,1,1,8123,8,4,1,U,1,1,1,1, , ,2,1,1,2,2,2,2,1,2,6,4,8888,2,2,2,2,4,8,1,1,2,1,1,3,2,2,99,6,2,9,99,9,1,3,2, ,2,2,1,.32636800425641
102323,1,1,6073,6,4,3,S,1,1,2,1, , ,2,2, , ,1,2,4,3,3,4, ,1990,2,2,2,2,1,1,1,1,2,1,3,1,2,1,60,3,2,1,8,4,1,1, , ,2,2,3.375,1.10149201436538
102326,1,1,6067,6,4,4,S,1,1,2,2,1, , ,2, , ,1,1, ,3,3,3, ,2001,1,1,1,1,1,1,1,1,3,2,2,2,2,2,74,4,2,1,7,4,1,2, , ,1,2,3.03125,.989303012902242
102328,1,1,53067,53,4,3,U,1,1,2,1, , ,1,1,1,1,3,1,3,1,1,2,1,2000,2,2,1,1,1,1,1,1,1,1,1,1,2,2,72,8,2,1,99,9,1,2, , ,2,2,1,.32636800425641
